$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
50.250,5.578092334
50.292,5.500098322
50.333,5.48961928
50.375,5.48961928
50.417,5.406425667
50.458,5.406425667
50.500,5.406425667
50.542,5.417603312
50.583,5.428082354
50.625,5.438561396
50.667,5.510577364
50.708,5.521755009
50.750,5.53223405
50.792,5.610228062
50.833,5.610228062
50.875,5.610228062
50.917,5.693421675
50.958,5.68224403
51.000,5.68224403
51.042,5.616762547
51.083,5.616762547
51.125,5.532693449
51.167,5.532693449
51.208,5.453230877
51.250,5.442175215
51.292,5.3684708
51.333,5.3684708
51.375,5.3684708
51.417,5.3684708
51.458,5.299372912
51.500,5.310428574
51.542,5.320793257
51.583,5.342213603
51.625,5.353269265
51.667,5.373998632
51.708,5.454152182
51.750,5.454152182
51.792,5.516800935
51.833,5.506436252
51.875,5.57553414
51.917,5.57553414
51.958,5.649238555
52.000,5.649238555
52.042,5.682786552
52.083,5.682786552
52.125,5.682786552
52.167,5.682786552
52.208,5.673174639
52.250,5.603571751
52.292,5.603571751
52.333,5.603571751
52.375,5.603571751
52.417,5.593319043
52.458,5.603571751
52.500,5.613183664
52.542,5.622795578
52.583,5.622795578
52.625,5.633048285
52.667,5.721875
52.708,5.732127708
52.750,5.732127708
52.792,5.806992329
52.833,5.806992329
52.875,5.806992329
52.917,5.876595217
52.958,5.866983303
53.000,5.856730596
53.042,5.895844544
53.083,5.886427504
53.125,5.886427504
53.167,5.876382661
53.208,5.799665172
53.250,5.790248132
53.292,5.780203288
53.333,5.707064275
53.375,5.697647235
53.417,5.620929746
53.458,5.620929746
53.500,5.620929746
53.542,5.630346786
53.583,5.64980867
53.625,5.678687593
53.667,5.707566517
53.708,5.794328849
53.750,5.794328849
53.792,5.857423019
53.833,5.848005979
53.875,5.848005979
53.917,5.905261584
53.958,5.905261584
54.000,5.895844544
54.042,5.992954073
54.083,5.982809145
54.125,5.890309145
54.167,5.880164218
54.208,5.801133421
54.250,5.791622551
54.292,5.698488493
54.333,5.629602623
54.375,5.620091754
54.417,5.537102623
54.458,5.526957696
54.500,5.458071826
54.542,5.468216754
54.583,5.487238493
54.625,5.51640516
54.667,5.615091754
54.708,5.644258421
54.750,5.727247551
54.792,5.806278348
54.833,5.806278348
54.875,5.879756609
54.917,5.879756609
54.958,5.938497551
55.000,5.938497551
55.042,6.038715352
55.083,6.029280529
55.125,6.019845707
55.167,5.930629663
55.208,5.921194841
55.250,5.835707147
55.292,5.756554914
55.333,5.747120092
55.375,5.662261386
55.417,5.652826564
55.458,5.583109153
55.500,5.583109153
55.542,5.527183902
55.583,5.546682535
55.625,5.640976063
55.667,5.660474695
55.708,5.749690739
55.750,5.768560384
55.792,5.843984267
55.833,5.843984267
55.875,5.903637868
55.917,5.968997941
55.958,5.959563118
56.000,6.019845707
56.042,6.086026041
56.083,6.086026041
56.125,6.076115807
56.167,5.997884209
56.208,5.988593366
56.250,5.914051175
56.292,5.835200188
56.333,5.825909344
56.375,5.8166185
56.417,5.74207631
56.458,5.663844712
56.500,5.673135556
56.542,5.683045789
56.583,5.701627477
56.625,5.721447944
56.667,5.730738787
56.708,5.818880619
56.750,5.892803419
56.792,5.902094263
56.833,5.971035017
56.875,5.971035017
56.917,6.02637613
56.958,6.017085287
